time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,1210.1,1208,1221,1205.7,1213.9,3.8,13773750,1630000,0,0,0,0.0,0,1213.9
1768212000,1215.5,1211.6,1219.8,1202.4,1217.4,1.9,13765625,1148125,0,0,-0.06,-0.06,-8125,3.5
1768298400,1191.3,1213.2,1214.5,1189,1194,2.7,13745000,2131875,0,0,-0.15,-0.15,-20625,-23.4
1768384800,1186.5,1191.5,1198,1177.2,1191.8,5.3,13920000,2951250,0,0,1.27,1.27,175000,-2.2
1768557600,1175.5,1190,1200,1175.4,1179.4,3.9,13970625,1976250,0,0,0.36,0.36,50625,-12.4
1768816800,1167.2,1175.6,1180.4,1168.5,1170.6,3.4,14212500,1898125,0,0,1.73,1.73,241875,-8.8
1768903200,1166.7,1170.5,1196.3,1165,1170.6,3.9,14006875,3990625,0,0,-1.45,-1.45,-205625,0.0
1768989600,1157.2,1172,1196.9,1151.5,1160.2,3.0,11795000,6156875,0,0,-15.79,-15.79,-2211875,-10.4
1769076000,1217.5,1190,1228.9,1190,1221.3,3.8,7557500,9942500,0,0,-35.93,-35.93,-4237500,61.1
1769162400,1235.6,1228,1252.2,1228,1236.1,0.5,2833125,8120625,0,0,-62.51,-62.51,-4724375,14.8
1769508000,1239.8,1246,1249.3,1235.1,1240.8,1.0,1305625,3383125,0,0,-53.92,-53.92,-1527500,4.7
1769594400,1222.5,1250,1251.2,1227,1230.4,7.9,14627500,2341875,0,0,1020.34,1020.34,13321875,-10.4
1769680800,1208.9,1224.4,1224.4,1197.5,1215.6,6.7,14861250,2204375,0,0,1.6,1.6,233750,-14.8
1769767200,1218.1,1210,1229.5,1207.2,1221.9,3.8,14816875,1683750,0,0,-0.3,-0.3,-44375,6.3
1769940000,1178.7,1229.1,1238.7,1172.4,1193,14.3,14848125,1695625,0,0,0.21,0.21,31250,-28.9
1770026400,1182.5,1195,1199,1172.2,1186.8,4.3,15016250,1600000,0,0,1.13,1.13,168125,-6.2
1770112800,1235.4,1274.5,1274.8,1221.2,1231.5,-3.9,15145000,3799375,0,0,0.86,0.86,128750,44.7
1770199200,1240.2,1236.1,1250,1236.1,1243.1,2.9,15108125,1615000,0,0,-0.24,-0.24,-36875,11.6
1770285600,1244.9,1247,1255.8,1240,1248.6,3.7,15046250,1551250,0,0,-0.41,-0.41,-61875,5.5
1770372000,1241.2,1251,1251,1229.6,1242.1,0.9,15450000,1927500,0,0,2.68,2.68,403750,-6.5
1770631200,1275.5,1255,1279.9,1246.4,1276.4,0.9,15489375,2736250,0,0,0.25,0.25,39375,34.3
1770717600,1256,1278.4,1283.9,1254.4,1259,3,15481250,2127500,0,0,-0.05,-0.05,-8125,-17.4
1770804000,1270.3,1262.4,1276,1255.8,1271,0.7,15101875,1418750,0,0,-2.45,-2.45,-379375,12.0
1770890400,1274.9,1272.9,1281.1,1263.5,1278.4,3.5,14988750,1305000,0,0,-0.75,-0.75,-113125,7.4
1770976800,1268.1,1278,1282,1266.9,1271.6,3.5,15224375,1515625,0,0,1.57,1.57,235625,-6.8
