time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,279.1,284.25,288.65,274.55,280.1,1.0,19539000,2948000,0.0,0.0,0.0,0.0,0,0.0
1770026400,277.55,277.05,280.0,270.1,278.85,1.3,20917000,8050000,0.0,0.0,7.05,7.05,1378,-1.25
1770112800,284.7,295.0,300.0,284.0,285.8,1.1,21619000,5660000,0.0,0.0,3.36,3.36,702,6.95
1770199200,287.1,287.0,291.4,282.8,287.5,0.4,21478000,4538000,0.0,0.0,-0.65,-0.65,-141,1.7
1770285600,283.4,287.05,287.35,278.4,284.65,1.25,21576000,5029000,0.0,0.0,0.46,0.46,98,-2.85
1770372000,285.3,281.05,286.95,275.5,286.15,0.85,21317000,5409000,0.0,0.0,-1.2,-1.2,-259,1.5
1770631200,296.85,289.9,297.6,287.35,297.1,0.25,21308000,6770000,0.0,0.0,-0.04,-0.04,-9,10.95
1770717600,294,298.1,298.3,291.6,293.95,-0.05,21911000,4368000,0.0,0.0,2.83,2.83,603,-3.15
1770804000,288.3,296.7,296.7,286.15,288.05,-0.25,23698000,6575000,0.0,0.0,8.16,8.16,1787,-5.9
1770890400,292.05,287.4,292.3,284.75,292.0,-0.05,23588000,3545000,0.0,0.0,-0.46,-0.46,-110,3.95
1770976800,285.1,290.0,290.7,283.05,284.75,-0.35,23978000,3535000,0.0,0.0,1.65,1.65,390,-7.25
1771236000,294,282.0,296.25,281.5,295.05,1.05,22741000,6049000,0.0,0.0,-5.16,-5.16,-1237,10.3
1771322400,297.65,295.65,299.15,291.15,298.15,0.5,22402000,3722000,0.0,0.0,-1.49,-1.49,-339,3.1
1771408800,300.25,298.0,302.85,297.05,300.8,0.55,21726000,4130000,0.0,0.0,-3.02,-3.02,-676,2.65
1771495200,294.9,300.6,302.2,293.15,294.65,-0.25,16386000,9319000,0.0,0.0,-24.58,-24.58,-5340,-6.15
1771581600,297.75,294.5,299.0,293.2,297.8,0.05,8821000,10350000,0.0,0.0,-46.17,-46.17,-7565,3.15
