time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,419.55,434.25,435.4,413.55,415.8,-3.75,28707000,7097000,0.0,0.0,0.0,0.0,0,0.0
1770026400,423.5,412.55,419.45,409.5,418.5,-5.0,29416000,8315000,0.0,0.0,2.47,2.47,709,2.7
1770112800,429.4,427.1,429.65,415.45,424.75,-4.65,31283000,11882000,0.0,0.0,6.35,6.35,1867,6.25
1770199200,434.9,425.3,437.5,423.5,431.8,-3.1,32819000,11324000,0.0,0.0,4.91,4.91,1536,7.05
1770285600,431.85,434.0,434.0,424.1,428.1,-3.75,33216000,3907000,0.0,0.0,1.21,1.21,397,-3.7
1770372000,432.8,426.0,428.2,422.0,426.9,-5.9,33581000,2992000,0.0,0.0,1.1,1.1,365,-1.2
1770631200,431.7,429.9,429.9,424.5,427.3,-4.4,33847000,3128000,0.0,0.0,0.79,0.79,266,0.4
1770717600,430.95,422.55,428.5,422.5,427.35,-3.6,34429000,3237000,0.0,0.0,1.72,1.72,582,0.05
1770804000,423.25,425.0,425.0,415.3,417.5,-5.75,35582000,5162000,0.0,0.0,3.35,3.35,1153,-9.85
1770890400,419.15,418.5,420.0,411.2,413.45,-5.7,35965000,5400000,0.0,0.0,1.08,1.08,383,-4.05
1770976800,408.95,400.0,412.8,400.0,403.95,-5.0,35828000,7477000,0.0,0.0,-0.38,-0.38,-137,-9.5
1771236000,422.5,403.0,419.3,401.0,417.9,-4.6,35235000,7888000,0.0,0.0,-1.66,-1.66,-593,13.95
1771322400,421.55,419.0,419.6,413.5,416.0,-5.55,34703000,3902000,0.0,0.0,-1.51,-1.51,-532,-1.9
1771408800,418,416.75,418.35,412.55,417.6,-0.4,33505000,4307000,0.0,0.0,-3.45,-3.45,-1198,1.6
1771495200,416.15,419.0,419.35,414.05,415.8,-0.35,26290000,9899000,0.0,0.0,-21.53,-21.53,-7215,-1.8
1771581600,423.55,417.25,426.35,415.3,423.0,-0.55,16438000,15369000,0.0,0.0,-37.47,-37.47,-9852,7.2
