time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,501.8,506.5,514.7,487.1,492.95,-8.85,10181000,2457000,0.0,0.0,0.0,0.0,0,0.0
1770026400,483.3,483.7,483.7,469.9,479.7,-3.6,10139000,3546000,0.0,0.0,-0.41,-0.41,-42,-13.25
1770112800,488.9,494.0,494.9,471.0,485.95,-2.95,9722000,2946000,0.0,0.0,-4.11,-4.11,-417,6.25
1770199200,507.1,488.45,517.7,488.3,505.1,-2.0,10953000,7499000,0.0,0.0,12.66,12.66,1231,19.15
1770285600,498.5,507.0,511.5,494.3,495.7,-2.8,11566000,3012000,0.0,0.0,5.6,5.6,613,-9.4
1770372000,497.25,494.7,501.2,485.6,494.6,-2.65,12001000,3687000,0.0,0.0,3.76,3.76,435,-1.1
1770631200,490.05,495.05,496.8,483.45,486.4,-3.65,12306000,2712000,0.0,0.0,2.54,2.54,305,-8.2
1770717600,488.85,488.5,489.65,477.4,483.8,-5.05,12608000,3925000,0.0,0.0,2.45,2.45,302,-2.6
1770804000,479.25,478.0,483.05,467.1,473.8,-5.45,13473000,8847000,0.0,0.0,6.86,6.86,865,-10.0
1770890400,474.85,475.0,483.9,465.6,469.8,-5.05,13910000,5528000,0.0,0.0,3.24,3.24,437,-4.0
1770976800,455.25,461.0,463.3,446.7,449.45,-5.8,14782000,4241000,0.0,0.0,6.27,6.27,872,-20.35
1771236000,463.8,450.05,458.2,448.05,456.9,-6.9,14470000,2574000,0.0,0.0,-2.11,-2.11,-312,7.45
1771322400,464.7,457.25,459.0,451.65,457.85,-6.85,14325000,1726000,0.0,0.0,-1.0,-1.0,-145,0.95
1771408800,453.45,455.0,457.15,445.85,454.05,0.6,13946000,2951000,0.0,0.0,-2.65,-2.65,-379,-3.8
1771495200,476.7,465.2,485.4,460.6,476.2,-0.5,10163000,10756000,0.0,0.0,-27.13,-27.13,-3783,22.15
1771581600,475.55,479.5,485.25,471.2,475.05,-0.5,6940000,6764000,0.0,0.0,-31.71,-31.71,-3223,-1.15
