time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,329.2,334.1,344.4,328.0,329.7,0.5,24616000,2353000,0.0,0.0,0.0,0.0,0,0.0
1770026400,333.05,326.75,340.0,318.5,335.4,2.35,25346000,7360000,0.0,0.0,2.97,2.97,730,5.7
1770112800,345.45,352.0,362.0,342.6,346.95,1.5,26246000,7641000,0.0,0.0,3.55,3.55,900,11.55
1770199200,346.6,352.8,352.9,342.95,348.05,1.45,26460000,7414000,0.0,0.0,0.82,0.82,214,1.1
1770285600,344.65,347.5,347.5,335.45,345.1,0.45,25598000,5461000,0.0,0.0,-3.26,-3.26,-862,-2.95
1770372000,347.75,341.6,349.5,335.3,348.2,0.45,25812000,3855000,0.0,0.0,0.84,0.84,214,3.1
1770631200,352.9,349.5,356.1,348.45,354.25,1.35,25614000,3492000,0.0,0.0,-0.77,-0.77,-198,6.05
1770717600,353.75,350.5,356.95,347.4,354.9,1.15,25821000,3261000,0.0,0.0,0.81,0.81,207,0.65
1770804000,344.25,354.35,355.35,342.55,344.35,0.1,26341000,4815000,0.0,0.0,2.01,2.01,520,-10.55
1770890400,344.65,344.95,347.3,340.45,345.0,0.35,26197000,2554000,0.0,0.0,-0.55,-0.55,-144,0.65
1770976800,336.2,341.3,341.3,334.5,335.85,-0.35,25796000,2739000,0.0,0.0,-1.53,-1.53,-401,-9.15
1771236000,345.05,332.3,345.75,331.4,345.25,0.2,25769000,2667000,0.0,0.0,-0.1,-0.1,-27,9.4
1771322400,348.95,344.7,349.9,341.95,348.55,-0.4,25372000,2495000,0.0,0.0,-1.54,-1.54,-397,3.3
1771408800,349.55,346.55,350.5,346.2,349.4,-0.15,24824000,2472000,0.0,0.0,-2.16,-2.16,-548,0.85
1771495200,344.3,348.0,350.45,342.0,343.75,-0.55,17849000,9038000,0.0,0.0,-28.1,-28.1,-6975,-5.65
1771581600,344.85,342.0,346.0,336.95,344.1,-0.75,9897000,9888000,0.0,0.0,-44.55,-44.55,-7952,0.35
