time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,142.89,150.12,151.0,141.96,143.3,0.41,26229000,487000,0.0,0.0,0.0,0.0,0,0.0
1770026400,146.73,143.0,148.69,141.11,146.84,0.11,25968000,350000,0.0,0.0,-1.0,-1.0,-261,3.54
1770112800,148.47,150.11,150.83,147.5,149.41,0.94,25824000,191000,0.0,0.0,-0.55,-0.55,-144,2.57
1770199200,150.23,146.77,153.35,146.77,151.29,1.06,25567000,350000,0.0,0.0,-1.0,-1.0,-257,1.88
1770285600,145.77,147.8,149.5,145.22,146.25,0.48,25425000,169000,0.0,0.0,-0.56,-0.56,-142,-5.04
1770372000,146.07,144.11,148.27,144.11,147.46,1.39,25372000,68000,0.0,0.0,-0.21,-0.21,-53,1.21
1770631200,149.14,149.0,151.9,148.46,150.56,1.42,25280000,140000,0.0,0.0,-0.36,-0.36,-92,3.1
1770717600,147.23,150.2,150.2,147.15,147.38,0.15,25246000,50000,0.0,0.0,-0.13,-0.13,-34,-3.18
1770804000,148.35,147.14,149.63,146.39,148.6,0.25,25176000,89000,0.0,0.0,-0.28,-0.28,-70,1.22
1770890400,146.78,147.47,148.49,146.02,147.9,1.12,25113000,130000,0.0,0.0,-0.25,-0.25,-63,-0.7
1770976800,144.03,145.28,146.49,143.14,144.19,0.16,24975000,164000,0.0,0.0,-0.55,-0.55,-138,-3.71
1771236000,147.69,145.84,149.72,144.01,148.84,1.15,24728000,375000,0.0,0.0,-0.99,-0.99,-247,4.65
1771322400,147.33,147.15,148.6,146.56,147.92,0.59,24616000,170000,0.0,0.0,-0.45,-0.45,-112,-0.92
1771408800,148.54,148.01,149.6,147.6,148.83,0.29,24428000,283000,0.0,0.0,-0.76,-0.76,-188,0.91
1771495200,151.39,149.38,151.5,149.33,151.23,-0.16,22499000,2323000,0.0,0.0,-7.9,-7.9,-1929,2.4
1771581600,154.04,152.33,154.76,151.35,153.93,-0.11,20978000,2314000,0.0,0.0,-6.76,-6.76,-1521,2.7
