time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,3559.8,3574.8,3393.3,3502.3,3502.3,10556000,1145000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,3489.7,3614.9,3476.5,3605.5,3605.5,10216000,2068000,0.0,0.0,-3.22,-3.22,-340,103.2
1770112800,0.0,3629.0,3736.3,3629.0,3685.6,3685.6,10220000,6058000,0.0,0.0,0.04,0.04,4,80.1
1770199200,0.0,3686.0,3766.6,3656.0,3756.2,3756.2,10230000,2474000,0.0,0.0,0.1,0.1,10,70.6
1770285600,0.0,3765.0,3769.0,3705.0,3752.9,3752.9,10080000,1381000,0.0,0.0,-1.47,-1.47,-150,-3.3
1770372000,0.0,3732.6,3735.0,3647.3,3684.4,3684.4,10132000,1530000,0.0,0.0,0.52,0.52,52,-68.5
1770631200,0.0,3708.0,3738.0,3652.5,3724.1,3724.1,10078000,1713000,0.0,0.0,-0.53,-0.53,-54,39.7
1770717600,0.0,3704.8,3824.2,3683.1,3698.3,3698.3,10054000,2760000,0.0,0.0,-0.24,-0.24,-24,-25.8
1770804000,0.0,3700.8,3867.9,3665.9,3850.8,3850.8,9537000,3213000,0.0,0.0,-5.14,-5.14,-517,152.5
1770890400,0.0,3841.9,3869.9,3825.6,3855.4,3855.4,9495000,1258000,0.0,0.0,-0.44,-0.44,-42,4.6
1770976800,0.0,3819.9,3835.8,3748.0,3785.1,3785.1,9462000,1117000,0.0,0.0,-0.35,-0.35,-33,-70.3
1771236000,0.0,3774.4,3890.0,3761.3,3882.7,3882.7,9263000,1606000,0.0,0.0,-2.1,-2.1,-199,97.6
1771322400,0.0,3898.1,3924.0,3865.2,3914.9,3914.9,9129000,1871000,0.0,0.0,-1.45,-1.45,-134,32.2
1771408800,0.0,3912.8,3939.2,3875.0,3929.8,3929.8,8567000,1871000,0.0,0.0,-6.16,-6.16,-562,14.9
1771495200,0.0,3974.9,3974.9,3860.1,3866.7,3866.7,4874000,5301000,0.0,0.0,-43.11,-43.11,-3693,-63.1
1771581600,0.0,3869.8,3944.0,3850.9,3911.9,3911.9,2440000,4160000,0.0,0.0,-49.94,-49.94,-2434,45.2
