time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1379.8,1387.0,1335.0,1341.7,1341.7,111942000,15707000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1337.5,1357.2,1309.0,1316.0,1316.0,111106000,24458000,0.0,0.0,-0.75,-0.75,-836,-25.7
1770112800,0.0,1389.6,1408.9,1347.6,1358.0,1358.0,106684000,29083000,0.0,0.0,-3.98,-3.98,-4422,42.0
1770199200,0.0,1367.0,1368.5,1341.9,1345.0,1345.0,107633000,13559000,0.0,0.0,0.89,0.89,949,-13.0
1770285600,0.0,1345.0,1345.0,1319.6,1332.6,1332.6,108752000,15711000,0.0,0.0,1.04,1.04,1119,-12.4
1770372000,0.0,1332.6,1347.5,1327.0,1342.3,1342.3,106389000,10113000,0.0,0.0,-2.17,-2.17,-2363,9.7
1770631200,0.0,1352.0,1353.1,1331.7,1342.2,1342.2,105600000,8425000,0.0,0.0,-0.74,-0.74,-789,-0.1
1770717600,0.0,1351.4,1360.5,1342.3,1357.2,1357.2,103297000,7842000,0.0,0.0,-2.18,-2.18,-2303,15.0
1770804000,0.0,1359.5,1360.8,1345.3,1348.0,1348.0,102219000,5347000,0.0,0.0,-1.04,-1.04,-1078,-9.2
1770890400,0.0,1351.0,1357.6,1338.4,1342.7,1342.7,102130000,5952000,0.0,0.0,-0.09,-0.09,-89,-5.3
1770976800,0.0,1340.1,1346.3,1316.4,1331.9,1331.9,99822000,10666000,0.0,0.0,-2.26,-2.26,-2308,-10.8
1771236000,0.0,1328.6,1360.9,1328.2,1357.6,1357.6,98955000,8462000,0.0,0.0,-0.87,-0.87,-867,25.7
1771322400,0.0,1357.0,1360.6,1349.3,1355.8,1355.8,94504000,8755000,0.0,0.0,-4.5,-4.5,-4451,-1.8
1771408800,0.0,1359.8,1376.6,1352.2,1375.3,1375.3,80254000,22742000,0.0,0.0,-15.08,-15.08,-14250,19.5
1771495200,0.0,1381.0,1381.4,1350.9,1354.3,1354.3,58163000,26406000,0.0,0.0,-27.53,-27.53,-22091,-21.0
1771581600,0.0,1359.1,1374.6,1352.7,1368.5,1368.5,28725000,35405000,0.0,0.0,-50.61,-50.61,-29438,14.2
