time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,191.85,199.89,187.57,192.15,192.15,13398000,5366000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,189.2,189.21,177.33,187.6,187.6,13132000,6714000,0.0,0.0,-1.99,-1.99,-266,-4.55
1770112800,0.0,195.0,197.85,187.6,191.05,191.05,13152000,4154000,0.0,0.0,0.15,0.15,20,3.45
1770199200,0.0,190.0,198.4,189.23,196.95,196.95,13489000,4208000,0.0,0.0,2.56,2.56,337,5.9
1770285600,0.0,196.95,198.24,192.0,194.33,194.33,13764000,2062000,0.0,0.0,2.04,2.04,275,-2.62
1770372000,0.0,193.5,193.5,187.25,192.38,192.38,13843000,2873000,0.0,0.0,0.57,0.57,79,-1.95
1770631200,0.0,193.1,196.05,192.82,195.45,195.45,13911000,1819000,0.0,0.0,0.49,0.49,68,3.07
1770717600,0.0,195.51,196.75,193.33,194.08,194.08,14076000,1345000,0.0,0.0,1.19,1.19,165,-1.37
1770804000,0.0,193.93,194.89,191.0,193.89,193.89,14312000,2241000,0.0,0.0,1.68,1.68,236,-0.19
1770890400,0.0,193.0,202.91,191.51,202.18,202.18,15440000,9123000,0.0,0.0,7.88,7.88,1128,8.29
1770976800,0.0,201.0,201.0,193.72,195.84,195.84,15932000,4994000,0.0,0.0,3.19,3.19,492,-6.34
1771236000,0.0,194.01,197.92,193.01,197.44,197.44,15209000,3648000,0.0,0.0,-4.54,-4.54,-723,1.6
1771322400,0.0,197.1,197.49,193.42,194.42,194.42,15103000,1905000,0.0,0.0,-0.7,-0.7,-106,-3.02
1771408800,0.0,195.33,198.5,194.51,197.54,197.54,14559000,2619000,0.0,0.0,-3.6,-3.6,-544,3.12
1771495200,0.0,197.0,199.56,193.2,195.41,195.41,10417000,7147000,0.0,0.0,-28.45,-28.45,-4142,-2.13
1771581600,0.0,194.0,197.88,193.46,195.67,195.67,6775000,7009000,0.0,0.0,-34.96,-34.96,-3642,0.26
