time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,730.1,735.4,710.1,716.75,716.75,27776000,2236000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,718.75,724.6,712.0,719.95,719.95,27882000,2867000,0.0,0.0,0.38,0.38,106,3.2
1770112800,0.0,731.15,737.9,721.0,722.85,722.85,29695000,6296000,0.0,0.0,6.5,6.5,1813,2.9
1770199200,0.0,724.35,729.35,716.45,725.95,725.95,30735000,3329000,0.0,0.0,3.5,3.5,1040,3.1
1770285600,0.0,726.45,726.45,714.65,723.8,723.8,30888000,2157000,0.0,0.0,0.5,0.5,153,-2.15
1770372000,0.0,719.9,724.1,701.4,706.15,706.15,32430000,4702000,0.0,0.0,4.99,4.99,1542,-17.65
1770631200,0.0,706.15,714.4,705.7,710.45,710.45,33835000,3887000,0.0,0.0,4.33,4.33,1405,4.3
1770717600,0.0,713.4,715.45,705.15,706.35,706.35,33528000,2340000,0.0,0.0,-0.91,-0.91,-307,-4.1
1770804000,0.0,707.4,707.4,700.95,702.95,702.95,33401000,2899000,0.0,0.0,-0.38,-0.38,-127,-3.4
1770890400,0.0,701.1,705.35,691.1,704.2,704.2,33957000,3227000,0.0,0.0,1.66,1.66,556,1.25
1770976800,0.0,701.05,709.05,695.85,697.8,697.8,33971000,2223000,0.0,0.0,0.04,0.04,14,-6.4
1771236000,0.0,696.9,708.65,695.35,706.15,706.15,33329000,2456000,0.0,0.0,-1.89,-1.89,-642,8.35
1771322400,0.0,706.75,712.3,702.9,707.45,707.45,32678000,2372000,0.0,0.0,-1.95,-1.95,-651,1.3
1771408800,0.0,709.15,729.8,705.75,728.9,728.9,29880000,6818000,0.0,0.0,-8.56,-8.56,-2798,21.45
1771495200,0.0,721.0,736.5,721.0,732.95,732.95,23218000,11064000,0.0,0.0,-22.3,-22.3,-6662,4.05
1771581600,0.0,735.45,736.0,727.55,729.1,729.1,14941000,9701000,0.0,0.0,-35.65,-35.65,-8277,-3.85
