time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,287.0,289.5,282.55,286.15,286.15,9772000,3772000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,287.5,287.5,277.05,282.35,282.35,11198000,6815000,0.0,0.0,14.59,14.59,1426,-3.8
1770112800,0.0,296.35,298.9,283.7,286.2,286.2,9883000,5798000,0.0,0.0,-11.74,-11.74,-1315,3.85
1770199200,0.0,284.55,288.85,282.75,287.85,287.85,9693000,2717000,0.0,0.0,-1.92,-1.92,-190,1.65
1770285600,0.0,287.3,289.6,286.1,288.05,288.05,9501000,1851000,0.0,0.0,-1.98,-1.98,-192,0.2
1770372000,0.0,289.1,289.35,285.2,287.85,287.85,9845000,2591000,0.0,0.0,3.62,3.62,344,-0.2
1770631200,0.0,288.5,289.55,285.35,286.75,286.75,10095000,2700000,0.0,0.0,2.54,2.54,250,-1.1
1770717600,0.0,287.4,287.9,280.9,281.85,281.85,10395000,3412000,0.0,0.0,2.97,2.97,300,-4.9
1770804000,0.0,281.15,294.2,279.2,291.5,291.5,11420000,8884000,0.0,0.0,9.86,9.86,1025,9.65
1770890400,0.0,292.8,292.8,287.0,288.1,288.1,11510000,3677000,0.0,0.0,0.79,0.79,90,-3.4
1770976800,0.0,287.05,291.4,286.1,289.15,289.15,11567000,3065000,0.0,0.0,0.5,0.5,57,1.05
1771236000,0.0,287.8,290.65,286.2,290.0,290.0,11298000,2530000,0.0,0.0,-2.33,-2.33,-269,0.85
1771322400,0.0,289.3,292.0,278.85,289.35,289.35,11800000,4277000,0.0,0.0,4.44,4.44,502,-0.65
1771408800,0.0,289.55,293.45,288.7,291.25,291.25,11642000,3063000,0.0,0.0,-1.34,-1.34,-158,1.9
1771495200,0.0,290.55,291.6,287.4,288.25,288.25,10012000,3994000,0.0,0.0,-14.0,-14.0,-1630,-3.0
1771581600,0.0,289.7,292.9,288.2,292.3,292.3,7688000,6488000,0.0,0.0,-23.21,-23.21,-2324,4.05
