time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,3702.1,3722.3,3526.8,3622.7,3622.7,33367000,2364000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,3609.1,3682.6,3606.8,3675.6,3675.6,33351000,2290000,0.0,0.0,-0.05,-0.05,-16,52.9
1770112800,0.0,3773.1,3804.3,3712.8,3774.7,3774.7,33435000,3811000,0.0,0.0,0.25,0.25,84,99.1
1770199200,0.0,3768.4,3856.2,3741.6,3831.4,3831.4,33177000,3435000,0.0,0.0,-0.77,-0.77,-258,56.7
1770285600,0.0,3869.0,3945.0,3832.5,3933.7,3933.7,33405000,6412000,0.0,0.0,0.69,0.69,228,102.3
1770372000,0.0,3931.0,3940.4,3835.2,3882.3,3882.3,34121000,4367000,0.0,0.0,2.14,2.14,716,-51.4
1770631200,0.0,3901.7,3935.0,3890.3,3915.7,3915.7,34150000,2167000,0.0,0.0,0.08,0.08,29,33.4
1770717600,0.0,3939.2,4024.9,3907.9,3998.8,3998.8,34153000,4817000,0.0,0.0,0.01,0.01,3,83.1
1770804000,0.0,4008.7,4023.8,3958.0,3988.1,3988.1,34317000,3077000,0.0,0.0,0.48,0.48,164,-10.7
1770890400,0.0,3970.0,3987.6,3941.1,3959.3,3959.3,34448000,2965000,0.0,0.0,0.38,0.38,131,-28.8
1770976800,0.0,3945.2,3945.2,3857.6,3891.7,3891.7,34758000,3192000,0.0,0.0,0.9,0.9,310,-67.6
1771236000,0.0,3910.0,3910.0,3850.4,3887.3,3887.3,34149000,3008000,0.0,0.0,-1.75,-1.75,-609,-4.4
1771322400,0.0,3892.0,3945.0,3871.4,3899.2,3899.2,32341000,5532000,0.0,0.0,-5.29,-5.29,-1808,11.9
1771408800,0.0,3902.8,3917.9,3877.2,3911.2,3911.2,31009000,4322000,0.0,0.0,-4.12,-4.12,-1332,12.0
1771495200,0.0,3947.0,3948.0,3815.0,3823.5,3823.5,19953000,14100000,0.0,0.0,-35.65,-35.65,-11056,-87.7
1771581600,0.0,3812.0,3892.2,3812.0,3857.8,3857.8,9054000,12901000,0.0,0.0,-54.62,-54.62,-10899,34.3
