time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1632.7,1649.9,1584.0,1602.7,1602.7,62063000,10886000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1620.0,1625.8,1593.4,1624.2,1624.2,63882000,9629000,0.0,0.0,2.93,2.93,1819,21.5
1770112800,0.0,1715.0,1721.1,1662.4,1695.0,1695.0,64813000,18397000,0.0,0.0,1.46,1.46,931,70.8
1770199200,0.0,1701.8,1719.4,1688.8,1696.9,1696.9,64769000,8707000,0.0,0.0,-0.07,-0.07,-44,1.9
1770285600,0.0,1700.9,1712.5,1686.7,1705.4,1705.4,64305000,5705000,0.0,0.0,-0.72,-0.72,-464,8.5
1770372000,0.0,1703.2,1707.3,1691.6,1696.3,1696.3,63794000,3186000,0.0,0.0,-0.79,-0.79,-511,-9.1
1770631200,0.0,1703.0,1714.7,1696.8,1707.0,1707.0,64342000,4743000,0.0,0.0,0.86,0.86,548,10.7
1770717600,0.0,1710.0,1721.0,1702.9,1708.9,1708.9,63747000,4651000,0.0,0.0,-0.92,-0.92,-595,1.9
1770804000,0.0,1710.0,1717.0,1705.0,1712.0,1712.0,63463000,2594000,0.0,0.0,-0.45,-0.45,-284,3.1
1770890400,0.0,1713.6,1720.0,1703.8,1715.5,1715.5,64035000,2967000,0.0,0.0,0.9,0.9,572,3.5
1770976800,0.0,1713.3,1720.9,1699.1,1701.9,1701.9,63892000,2885000,0.0,0.0,-0.22,-0.22,-143,-13.6
1771236000,0.0,1692.0,1716.0,1692.0,1704.7,1704.7,63120000,2719000,0.0,0.0,-1.21,-1.21,-772,2.8
1771322400,0.0,1701.1,1717.7,1696.9,1715.3,1715.3,62408000,3546000,0.0,0.0,-1.13,-1.13,-712,10.6
1771408800,0.0,1706.4,1728.3,1706.4,1722.4,1722.4,60721000,5719000,0.0,0.0,-2.7,-2.7,-1687,7.1
1771495200,0.0,1727.9,1727.9,1708.7,1711.1,1711.1,45045000,18327000,0.0,0.0,-25.82,-25.82,-15676,-11.3
1771581600,0.0,1711.1,1722.8,1705.5,1720.9,1720.9,31518000,17430000,0.0,0.0,-30.03,-30.03,-13527,9.8
